tokenId,tickLower,tickUpper,liquidity
1009189,196250,197880,0
1009192,197880,199350,0
1009194,196250,197880,0
1009199,197880,199350,0
1009201,197800,198000,0
1009253,196950,199360,0
1009274,196820,198990,0
1009299,197440,198500,0
100931,198280,200310,0
1009347,197880,198300,0
1009351,196250,197880,0
1009355,197880,199350,0
1009365,196250,197880,0
1009370,197880,199350,0
1009398,196250,197880,0
1009402,197880,199350,0
1009407,196250,197880,0
1009410,197880,199350,0
1009412,194430,198820,0
1009417,197880,199350,0
1009420,196250,197880,0
1009426,196250,197880,0
1009428,197610,197830,0
1009429,197880,199350,0
1009430,197690,197860,0
1009436,197730,198030,0
1009441,197610,197830,0
1009442,197690,197860,0
1009443,196250,197880,0
1009449,197880,199350,0
1009451,197310,198370,0
100946,197190,199280,0
1009482,199410,200860,0
1009486,196860,198240,0
1009488,197960,198160,0
1009512,197200,198120,0
1009522,196800,198960,0
1009525,197790,197990,0
1009533,197340,198520,0
1009537,197880,199350,0
1009538,197390,198970,0
100955,196240,200320,0
1009550,196250,197880,0
1009576,-887270,887270,0
1009618,197530,197640,0
1009622,197570,197770,0
1009625,197540,198210,0
1009654,197490,197590,0
1009658,197040,198140,0
1009659,197590,197680,0
1009662,-887270,887270,0
1009666,196940,198070,0
1009668,197600,197610,0
1009678,-887270,887270,0
1009679,197260,197580,0
1009686,197260,197910,0
1009732,195520,199690,0
1009786,-887270,887270,0
1009868,197150,198040,0
1009885,197370,197570,0
1009902,196390,198660,0
1009933,-887270,887270,2469960792220
1009949,197250,197880,0
1009961,197700,197900,0
1010032,197760,198970,0
1010048,196260,199360,0
1010085,197560,197760,0
1010146,197570,197760,0
1010158,196920,198280,0
101016,195970,199380,0
1010168,197470,198120,0
1010173,197240,198250,0
1010195,197720,197920,0
1010224,197880,199350,0
1010229,196250,197880,0
1010246,197880,199350,0
1010247,197880,199350,0
1010252,196250,197880,0
1010266,197880,199350,0
1010274,196250,197880,0
1010277,197880,199350,0
1010278,196250,197880,0
1010279,197880,199350,0
1010281,196250,197880,0
1010285,196600,198700,0
1010287,197880,199350,0
1010291,197380,197910,0
1010292,196250,197880,0
1010299,196250,197880,0
1010305,197310,198490,0
1010308,196250,197880,0
1010329,-887270,887270,0
1010340,197880,199350,0
1010354,197550,199480,0
1010363,197570,198580,0
1010364,197980,198180,0
1010366,197560,198570,0
1010381,198060,198270,0
1010393,197310,198490,0
1010417,198210,198220,0
1010424,198210,198220,0
1010426,197390,198490,0
1010428,198190,198200,0
101044,194710,199820,0
1010453,197290,198700,0
1010458,188830,201360,0
1010471,197860,198060,0
1010499,197290,198700,0
1010548,195170,199980,0
1010561,198020,199270,0
101057,197920,198510,0
1010578,196950,198490,0
1010587,197130,197980,0
1010603,196950,198080,0
1010611,197760,197920,0
1010639,193380,198380,0
1010659,197960,198200,0
1010660,197510,198320,0
1010777,196560,199560,0
1010820,198150,200970,0
1010828,198080,198290,0
1010832,198080,198290,0
1010837,198060,198270,0
1010844,198030,198240,0
1010846,198040,198250,0
1010856,197990,198200,0
1010858,197910,198120,0
1010859,197860,198070,0
1010869,197840,198050,0
1010874,197840,198050,0
1010885,197930,198140,0
1010892,197940,198150,0
1010914,197220,198820,0
1010923,195780,199830,0
1010951,197360,198520,0
1010983,198060,198070,0
1010985,192310,203610,0
1010989,197580,198620,0
1010991,-887270,887270,0
1010992,196880,198710,0
1010996,198030,198230,0
1011012,197130,198490,0
1011035,196660,198590,0
1011062,197010,199020,0
1011067,196410,199030,0
1011082,195930,200820,0
1011289,197310,198670,87811285748489
1011324,195970,199940,0
1011334,197370,198690,0
1011355,196950,198910,0
1011381,197890,197970,0
1011392,196660,199260,0
1011436,197820,198030,0
1011480,197260,198560,0
1011521,197910,198120,0
1011576,196600,199550,0
1011616,195850,200320,0
1011618,196590,199360,0
101165,198080,198480,0
101166,198270,198290,0
1011671,197970,198180,0
1011674,193380,200310,0
1011680,197950,198160,0
1011683,197970,198180,0
1011685,197970,198180,0
1011688,197940,198150,0
101172,198250,198290,0
1011723,197930,198140,0
1011744,197080,199080,0
101179,198050,198410,0
1011887,-887270,887270,0
1011891,197740,198210,0
1012013,197890,198100,0
1012048,197340,198520,0
1012094,197350,198400,0
1012118,196710,198480,0
1012194,198080,198760,0
1012219,-887270,887270,0
101226,198120,198130,0
1012275,197470,198690,0
1012296,197840,198490,0
1012306,198010,198780,0
1012307,197990,198740,0
1012314,198460,276320,0
101233,197760,199020,0
101234,194720,202870,0
101238,197830,198280,0
1012384,-887270,887270,0
1012386,198160,198660,0
1012398,197070,198960,0
1012410,197560,199160,0
101244,198050,198060,0
1012444,196260,198910,0
1012465,198000,198820,0
1012537,197070,198700,0
1012540,349280,355840,0
101256,197980,198000,0
1012581,198320,199350,0
1012609,197540,199510,0
1012684,196360,200490,0
1012691,197420,199520,0
1012696,196980,198480,0
1012697,170220,199300,0
1012703,195920,198470,0
1012707,-887270,887270,0
1012715,198490,199820,0
1012723,197310,198400,0
101276,197960,197970,0
1012770,197310,198510,0
1012780,-887270,887270,0
1012793,196850,203270,0
1012805,197970,200180,0
101281,197950,197960,0
1012838,198080,198960,0
101285,197920,197960,0
1012853,194160,199820,0
1012867,196660,200720,0
1012869,198480,199360,0
1012876,198180,199620,0
1012886,198290,199700,0
1012918,198910,201940,0
101293,197960,198490,0
1012934,198150,199060,0
1012935,198430,199570,0
101295,196260,199820,0
101296,197870,197880,0
1013041,197240,199470,0
1013056,193890,201360,0
1013064,197780,200690,0
101308,196260,199820,0
1013124,-887270,887270,0
1013151,198440,199480,0
101318,197930,197940,0
1013183,351280,353820,0
1013187,198830,201360,0
1013190,191710,199020,0
1013198,197000,199660,0
1013204,197340,199860,0
101321,197000,201370,0
1013221,197400,199030,0
1013243,198020,199920,0
1013255,198580,199590,0
101328,195980,197930,0
1013316,198920,199360,0
1013405,197070,201750,0
1013424,190380,199360,0
101346,197900,197910,0
1013461,199350,199600,0
1013463,198080,201940,0
1013475,197310,199400,0
1013481,198950,199850,0
1013507,198910,199820,0
1013510,199430,199440,0
1013517,-77110,-76700,0
1013523,198730,200310,0
101353,197920,198080,0
1013545,199410,201640,0
1013558,197690,200310,0
1013575,199170,199480,0
1013591,-887270,887270,0
1013604,196260,199360,0
1013632,-887270,887270,0
1013639,197870,200500,0
101368,197900,198080,0
1013685,197030,201050,0
101370,196630,201310,0
1013750,197300,201570,0
1013758,-887270,887270,0
1013825,198820,200250,0
101383,192540,201310,0
101386,197890,199590,0
101393,197010,197930,0
101394,196040,197240,0
1014050,191640,199180,0
1014159,195300,199160,0
1014168,196940,199170,0
1014172,-887270,887270,0
1014173,189920,200260,0
1014175,197820,200790,0
1014233,197800,199970,0
101424,195810,199150,0
1014243,199820,199870,0
101425,197440,198500,0
1014327,199360,200930,0
1014357,197690,200730,0
101436,195720,198600,0
1014368,196600,200310,0
101437,197440,198500,0
101439,197840,198050,0
1014416,198100,199900,0
101442,197830,197940,0
1014422,197800,199100,0
1014431,197360,200940,0
101445,197300,198280,0
1014466,194710,200960,0
1014561,197310,201940,0
1014565,196260,200670,0
1014570,197850,200240,0
1014585,197460,199440,0
1014589,196990,199120,0
1014592,-887270,887270,0
1014596,198740,199540,0
1014618,-887270,887270,0
1014659,196640,199500,0
1014666,199150,199320,0
1014707,199130,199710,0
1014744,198560,199570,0
1014750,199070,199310,0
101476,197440,199150,0
1014786,198160,200210,0
1014806,198940,199300,0
1014808,198390,199400,0
1014812,-887270,887270,0
1014813,198080,199360,0
1014815,-887270,887270,0
1014847,198540,199550,0
101485,197800,197810,0
1014867,198250,200750,0
1014869,198770,199780,0
101489,197640,198020,0
1014901,198630,199640,0
1014936,198140,201310,0
101494,197500,198070,0
1014952,197310,200830,0
1014953,198080,201940,0
1014958,198080,200830,0
1014975,198490,199000,0
1015014,198490,199360,0
1015017,195300,198890,0
1015023,196950,200560,0
1015085,198280,199080,0
1015093,194710,200320,0
1015132,197690,201940,0
101516,195980,199930,0
1015234,196950,199510,0
1015238,-887270,887270,0
101526,196870,197990,0
1015360,198010,198910,0
101546,197270,198200,0
1015474,197960,199000,0
1015509,353290,354150,0
101551,196900,199760,0
1015530,198470,199750,0
1015551,197690,199590,0
1015574,198270,198620,0
1015575,197610,198910,0
1015586,195610,201360,0
101559,197620,197920,0
1015599,198370,198960,0
1015641,-887270,887270,0
1015644,-887270,887270,0
101565,195930,198910,0
101567,197470,197820,0
1015709,196780,199490,0
101572,196950,198080,0
1015721,197640,200550,0
1015743,197540,199230,0
101582,196960,198600,0
101587,197040,198130,0
1015884,198410,198700,0
1015899,351900,355770,0
1015956,198370,199040,0
101596,197560,197570,0
101597,197050,198090,0
1015970,355590,357340,0
1015979,197680,199130,0
1015983,198350,199290,0
1016029,198010,199010,0
1016081,197800,198600,0
1016092,198200,198780,0
1016095,198200,198910,0
1016096,197420,198890,0
1016123,197690,198490,0
1016126,197810,198710,0
101615,196900,198470,0
1016227,198070,198610,0
1016242,197760,198770,0
101630,197650,198080,0
101631,196430,198830,0
101635,196460,198290,0
101644,197590,201090,0
1016455,-887270,887270,0
1016494,197820,198720,0
1016500,198260,198920,0
1016517,198260,198270,0
1016554,197500,199090,0
101659,195950,199430,0
1016681,-887270,887270,0
1016716,197880,200530,0
1016731,195990,198610,0
1016739,196160,198960,0
1016782,198390,204240,0
1016803,197850,198860,0
